"Transaction Date",c11,,,bc_victoria,,,bc_vancouver,,,ab_calgary,,,ab_edmonton,,,mb_winnipeg,,,on_hamilton,,,on_toronto,,,on_ottawa,,,qc_montreal,,,qc_quebec_city,,,ns_halifax,,
,Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count",Index,"SA Index","Sales Pair Count"
Jul-1990,,,,45.97,46.19,198,55.36,55.29,1189,,,,,,,62.65,62.75,792,,,,,,,,,,59.13,59.33,1654,61.71,61.67,261,57.04,56.96,221
Aug-1990,,,,46.19,46.55,267,54.67,54.52,1586,,,,,,,62.56,62.52,809,,,,,,,,,,58.82,59.52,1098,61.79,62.30,180,56.98,56.79,223
Sep-1990,,,,46.30,46.67,210,54.48,54.66,1405,,,,,,,62.19,62.23,638,,,,,,,,,,58.50,59.44,789,61.81,62.53,122,56.86,56.76,139
Oct-1990,,,,45.85,46.40,219,54.21,54.35,1483,,,,,,,61.71,62.01,578,,,,,,,,,,57.78,58.69,928,62.42,63.54,160,56.30,56.44,110
Nov-1990,,,,45.91,46.30,277,55.41,55.71,1833,,,,,,,61.14,61.73,483,,,,,,,,,,57.48,58.40,1054,62.55,63.37,151,55.93,56.49,129
Dec-1990,,,,45.61,46.05,223,54.90,55.30,1887,,,,,,,60.91,61.65,452,,,,,,,,,,57.50,58.40,832,62.71,63.70,75,55.46,56.30,107
Jan-1991,,,,45.79,46.20,98,54.37,54.81,636,,,,,,,60.68,61.54,277,,,,,,,,,,57.52,58.34,701,61.79,62.64,86,56.15,56.92,88
Feb-1991,,,,46.01,46.45,158,52.60,53.21,1003,,,,,,,60.96,61.77,229,,,,,,,,,,57.41,58.31,650,61.65,62.53,92,55.76,56.45,54
Mar-1991,,,,46.19,46.73,287,53.07,53.68,2114,,,,,,,60.94,61.87,320,,,,,,,,,,57.67,57.98,976,61.44,62.43,179,56.29,56.87,83
Apr-1991,,,,46.94,47.29,333,54.05,54.48,2945,,,,,,,61.25,61.97,438,,,,,,,,,,58.23,58.37,1167,62.11,62.67,204,56.14,56.71,99
May-1991,,,,47.58,47.85,486,55.02,55.19,3322,,,,,,,61.21,61.83,487,,,,,,,,,,58.77,58.58,2376,62.16,62.52,539,56.77,57.17,152
Jun-1991,,,,48.64,48.96,437,55.81,55.83,3116,,,,,,,61.48,61.84,590,,,,,,,,,,58.60,58.54,4002,62.37,62.43,871,56.91,57.06,184
Jul-1991,,,,49.56,49.81,423,56.60,56.56,2755,,,,,,,61.72,61.81,872,,,,,,,,,,58.48,58.66,1500,62.49,62.42,347,57.44,57.37,346
Aug-1991,,,,50.08,50.48,407,57.33,57.20,2536,,,,,,,61.88,61.85,801,,,,,,,,,,57.90,58.60,1301,62.05,62.53,301,57.67,57.47,300
Sep-1991,,,,50.55,50.98,330,57.87,58.06,1903,,,,,,,61.91,61.96,625,,,,,,,,,,57.72,58.65,1138,62.14,62.86,198,57.32,57.22,160
Oct-1991,,,,51.00,51.60,300,57.81,57.99,2223,,,,,,,61.57,61.87,524,,,,,,,,,,57.83,58.77,1166,61.65,62.74,230,56.65,56.80,127
Nov-1991,,,,51.90,52.36,384,57.94,58.28,2186,,,,,,,61.15,61.75,392,,,,,,,,,,58.03,58.95,1227,62.25,63.08,232,56.82,57.40,118
