"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 00:00","2022","07","01","00:00","12.6","","12.3","","98","","0.0","","36","","2","","","","100.21","","","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 01:00","2022","07","01","01:00","11.8","","11.5","","98","","0.0","","","","0","","","","100.20","","","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 02:00","2022","07","01","02:00","11.4","","11.1","","98","","0.0","","","","0","","","","100.21","","","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 03:00","2022","07","01","03:00","10.8","","10.5","","98","","0.0","","","","0","","","","100.22","","","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 04:00","2022","07","01","04:00","10.5","","10.3","","99","","0.0","","0","","1","","","","100.23","","","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 05:00","2022","07","01","05:00","10.2","","10.0","","99","","0.0","","","","0","","","","100.28","","","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 06:00","2022","07","01","06:00","13.6","","13.4","","99","","0.0","","","","0","","","","100.27","","","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 07:00","2022","07","01","07:00","16.8","","16.0","","95","","0.0","","","","0","","","","100.30","","","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 08:00","2022","07","01","08:00","20.8","","18.3","","85","","0.0","","17","","1","","","","100.27","","27","","","","NA"
"-64.46","44.73","EMERGENCY WEATHER STATION #2","8202195","2022-07-01 09:00","2022","07","01","09:00","21.7","","16.1","","71","","0.0","","27","","2","","","","100.28","","26","","","","NA"
